,CASENO,OFFENSE,CVLEGEND,BLKADDR,City,State,Day,Lat,Lon,timestamp,RATING
4721,18001456,ASSAULT/BATTERY MISD.,ASSAULT,2200 SHATTUCK AVE,Berkeley,CA,Monday,37.869363,-122.268028,2018-01-08 08:50:00,4
4725,17067772,DISTURBANCE,DISORDERLY CONDUCT,2700 MILVIA ST,Berkeley,CA,Tuesday,37.860225,-122.269453,2017-11-07 08:37:00,3
4727,17068090,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,ASHBY AVENUE & DOHR ST,Berkeley,CA,Wednesday,37.853221,-122.280832,2017-11-08 15:46:00,1
4734,17059093,DISTURBANCE,DISORDERLY CONDUCT,2700 SACRAMENTO ST,Berkeley,CA,Saturday,37.858433,-122.280183,2017-09-30 05:00:00,3
4739,17092390,THEFT FELONY (OVER $950),LARCENY,SECOND STREET & VIRGINIA ST,Berkeley,CA,Friday,37.87142,-122.303532,2017-12-01 11:30:00,3
4744,17092149,THEFT FELONY (OVER $950),LARCENY,2200 WARD ST,Berkeley,CA,Wednesday,37.8598,-122.264351,2017-10-25 08:25:00,3
4753,17065390,ASSAULT/BATTERY MISD.,ASSAULT,1200 UNIVERSITY AVE,Berkeley,CA,Friday,37.869385,-122.28953,2017-10-27 01:03:00,4
4757,17069793,ASSAULT/BATTERY MISD.,ASSAULT,1000 GILMAN ST,Berkeley,CA,Thursday,37.88015,-122.297446,2017-11-16 10:44:00,4
4758,18090301,THEFT FELONY (OVER $950),LARCENY,2700 CLAREMONT BLVD,Berkeley,CA,Wednesday,37.86232,-122.247046,2018-02-07 08:25:00,3
4760,17060485,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2800 REGENT ST,Berkeley,CA,Friday,37.859589,-122.257019,2017-09-15 12:00:00,4
4762,17092506,THEFT FELONY (OVER $950),LARCENY,1400 UNIVERSITY AVE,Berkeley,CA,Friday,37.870054,-122.284263,2017-12-15 11:30:00,3
4766,17075548,DISTURBANCE,DISORDERLY CONDUCT,DWIGHT WAY & FOURTH ST,Berkeley,CA,Wednesday,37.859557,-122.29733,2017-12-13 10:00:00,3
4768,17066831,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2800 COLLEGE AVE,Berkeley,CA,Wednesday,37.859988,-122.253339,2017-11-01 23:30:00,4
4770,17064492,THEFT FROM PERSON,LARCENY,CENTER STREET & SHATTUCK AVE,Berkeley,CA,Monday,37.870308,-122.26805,2017-10-23 19:25:00,5
4772,17055400,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1500 ARCH ST,Berkeley,CA,Saturday,37.880636,-122.264757,2017-09-09 20:28:00,4
4773,18090149,THEFT FELONY (OVER $950),LARCENY,2700 EIGHTH ST,Berkeley,CA,Wednesday,37.857001,-122.291858,2018-01-10 17:10:00,3
4774,17076158,DISTURBANCE,DISORDERLY CONDUCT,SHATTUCK AVENUE & ADDISON ST,Berkeley,CA,Friday,37.871167,-122.268285,2017-12-15 23:02:00,3
4782,17056097,ASSAULT/BATTERY MISD.,ASSAULT,2300 NINTH ST,Berkeley,CA,Saturday,37.864109,-122.292948,2017-09-16 23:30:00,4
4783,17071403,ASSAULT/BATTERY MISD.,ASSAULT,2900 NINTH ST,Berkeley,CA,Thursday,37.8526,-122.289715,2017-11-23 17:45:00,4
4788,17053347,ROBBERY,ROBBERY,BLAKE STREET & ELLSWORTH ST,Berkeley,CA,Wednesday,37.863646,-122.262822,2017-09-06 15:00:00,3
4791,17063671,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2300 SHATTUCK AVE,Berkeley,CA,Thursday,37.867176,-122.267802,2017-10-19 10:30:00,4
4798,17048923,BRANDISHING,WEAPONS OFFENSE,2400 SAN PABLO AVE,Berkeley,CA,Saturday,37.862542,-122.290104,2017-08-19 18:30:00,5
4799,17061816,THEFT FELONY (OVER $950),LARCENY,2500 BANCROFT WAY,Berkeley,CA,Thursday,37.868722,-122.259123,2017-10-12 19:25:00,3
4802,17078185,THEFT FROM PERSON,LARCENY,2000 UNIVERSITY AVE,Berkeley,CA,Wednesday,37.871828,-122.270516,2017-12-27 01:05:00,5
4803,17068087,THEFT FELONY (OVER $950),LARCENY,2400 LE CONTE AVE,Berkeley,CA,Monday,37.876251,-122.262453,2017-11-06 00:00:00,3
4816,17066269,ASSAULT/BATTERY MISD.,ASSAULT,1200 ALLSTON WAY,Berkeley,CA,Tuesday,37.866724,-122.288804,2017-10-31 15:25:00,4
4823,17070117,ROBBERY,ROBBERY,ADELINE STREET & WOOLSEY ST,Berkeley,CA,Friday,37.851953,-122.270182,2017-11-17 19:09:00,3
4826,17048885,SEXUAL ASSAULT FEL.,SEX CRIME,1400 SHATTUCK AVE,Berkeley,CA,Saturday,37.881957,-122.269551,2017-08-19 15:55:00,5
