,CASENO,OFFENSE,CVLEGEND,BLKADDR,City,State,Day,Lat,Lon,timestamp,RATING
3,17065730,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,SOLANO AVENUE & COLUSA AVE,Berkeley,CA,Saturday,37.891368,-122.279257,2017-10-28 20:08:00,1
6,17047894,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,1900 SHATTUCK AVE,Berkeley,CA,Tuesday,37.873687,-122.268616,2017-08-15 12:34:00,1
12,17064647,ASSAULT/BATTERY MISD.,ASSAULT,2100 SHATTUCK AVE,Berkeley,CA,Tuesday,37.871167,-122.268285,2017-10-24 08:56:00,4
13,17062686,ROBBERY,ROBBERY,1500 UNIVERSITY AVE,Berkeley,CA,Sunday,37.870396,-122.281585,2017-10-15 17:09:00,3
18,17092540,THEFT FELONY (OVER $950),LARCENY,2708 RUSSELL ST,Berkeley,CA,Wednesday,37.85853,-122.252457,2017-12-20 17:30:00,3
25,18006469,DISTURBANCE,DISORDERLY CONDUCT,1600 DERBY ST,Berkeley,CA,Friday,37.859006,-122.277874,2018-01-19 00:00:00,3
26,17067957,ROBBERY,ROBBERY,ADELINE STREET & ASHBY AVE,Berkeley,CA,Wednesday,37.854732,-122.26898,2017-11-08 00:30:00,3
27,18005755,DISTURBANCE,DISORDERLY CONDUCT,2500 DURANT AVE,Berkeley,CA,Monday,37.867852,-122.258699,2018-01-29 01:25:00,3
29,17051393,ASSAULT/BATTERY MISD.,ASSAULT,2500 TELEGRAPH AVE,Berkeley,CA,Tuesday,37.865009,-122.258767,2017-08-29 20:48:00,4
32,17055927,MISSING ADULT,MISSING PERSON,1900 OXFORD ST,Berkeley,CA,Friday,37.873885,-122.266332,2017-09-15 08:30:00,4
33,17091624,THEFT FELONY (OVER $950),LARCENY,2000 LINCOLN ST,Berkeley,CA,Tuesday,37.877232,-122.271244,2017-08-15 05:00:00,3
34,17047991,ROBBERY,ROBBERY,ASHBY AVENUE & ELLIS ST,Berkeley,CA,Tuesday,37.854021,-122.273207,2017-08-15 19:11:00,3
39,17061264,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,ALCATRAZ AVENUE & IDAHO ST,Berkeley,CA,Tuesday,37.847421,-122.28133,2017-10-10 00:06:00,1
42,17069496,ASSAULT/BATTERY FEL.,ASSAULT,ALCATRAZ AVENUE & SACRAMENTO ST,Berkeley,CA,Tuesday,37.847908,-122.277685,2017-11-14 20:50:00,5
43,17057841,DISTURBANCE,DISORDERLY CONDUCT,ALLSTON WAY & MILVIA ST,Berkeley,CA,Sunday,37.869057,-122.270463,2017-09-24 16:35:00,3
44,17055029,DISTURBANCE,DISORDERLY CONDUCT,2100 TENTH ST,Berkeley,CA,Tuesday,37.867108,-122.292737,2017-09-12 15:27:00,3
46,17060980,ROBBERY,ROBBERY,3000 TELEGRAPH AVE,Berkeley,CA,Sunday,37.855435,-122.259841,2017-10-08 16:30:00,3
50,17091867,THEFT FELONY (OVER $950),LARCENY,900 PARKER ST,Berkeley,CA,Sunday,37.858455,-122.293374,2017-09-17 19:00:00,3
55,17072613,DISTURBANCE,DISORDERLY CONDUCT,1600 WARD ST,Berkeley,CA,Wednesday,37.858132,-122.277595,2017-11-29 21:00:00,3
60,17055072,DISTURBANCE,DISORDERLY CONDUCT,ALLSTON WAY & SHATTUCK AVE,Berkeley,CA,Tuesday,37.86939,-122.267883,2017-09-12 23:07:00,3
61,17061559,DISTURBANCE,DISORDERLY CONDUCT,2100 UNIVERSITY AVE,Berkeley,CA,Wednesday,37.872175,-122.267835,2017-10-11 11:20:00,3
64,17061831,DISTURBANCE,DISORDERLY CONDUCT,2300 WARRING ST,Berkeley,CA,Thursday,37.869137,-122.250908,2017-10-12 20:55:00,3
66,17063867,DISTURBANCE,DISORDERLY CONDUCT,1100 DELAWARE ST,Berkeley,CA,Saturday,37.871689,-122.292898,2017-10-21 03:02:00,3
70,18007640,THEFT FELONY (OVER $950),LARCENY,1000 UNIVERSITY AVE,Berkeley,CA,Tuesday,37.868641,-122.29415,2018-02-06 22:20:00,3
71,17077971,DISTURBANCE,DISORDERLY CONDUCT,1600 WARD ST,Berkeley,CA,Monday,37.858132,-122.277595,2017-12-25 15:26:00,3
78,17075526,ASSAULT/BATTERY FEL.,ASSAULT,PORTLAND AVENUE & NEILSON ST,Berkeley,CA,Wednesday,37.894721,-122.286417,2017-12-13 07:30:00,5
80,17054183,ASSAULT/BATTERY MISD.,ASSAULT,1900 ASHBY AVE,Berkeley,CA,Saturday,37.854286,-122.271015,2017-09-09 10:22:00,4
83,17063467,MISSING ADULT,MISSING PERSON,1900 STUART ST,Berkeley,CA,Wednesday,37.857951,-122.271494,2017-10-18 09:30:00,4
84,18003155,THEFT FELONY (OVER $950),LARCENY,1200 FIFTH ST,Berkeley,CA,Tuesday,37.880786,-122.303067,2018-01-16 17:09:00,3
85,18003898,ROBBERY,ROBBERY,2700 CHANNING WAY,Berkeley,CA,Friday,37.867491,-122.254054,2018-01-19 21:07:00,3
86,17074062,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1900 RUSSELL ST,Berkeley,CA,Wednesday,37.856132,-122.271292,2017-12-06 06:00:00,4
88,17070288,DISTURBANCE,DISORDERLY CONDUCT,2300 TELEGRAPH AVE,Berkeley,CA,Saturday,37.868714,-122.259189,2017-11-18 15:00:00,3
97,17051149,THEFT FROM AUTO,LARCENY - FROM VEHICLE,900 PAGE ST,Berkeley,CA,Wednesday,37.876644,-122.299354,2017-08-23 20:00:00,4
98,17076699,ROBBERY,ROBBERY,1100 UNIVERSITY AVE,Berkeley,CA,Monday,37.869067,-122.292043,2017-12-18 19:19:00,3
99,17058142,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1100 UNIVERSITY AVE,Berkeley,CA,Monday,37.869067,-122.292043,2017-09-25 22:30:00,4
105,17074742,ASSAULT/BATTERY MISD.,ASSAULT,DWIGHT WAY & FOURTH ST,Berkeley,CA,Saturday,37.859557,-122.29733,2017-12-09 05:50:00,4
107,18001275,ASSAULT/BATTERY FEL.,ASSAULT,2300 TELEGRAPH AVE,Berkeley,CA,Sunday,37.868714,-122.259189,2018-01-07 02:00:00,5
108,18000506,MISSING ADULT,MISSING PERSON,1500 BERKELEY WAY,Berkeley,CA,Wednesday,37.871311,-122.281978,2017-12-27 22:30:00,4
109,18003953,ASSAULT/BATTERY MISD.,ASSAULT,TELEGRAPH AVENUE & BANCROFT WAY,Berkeley,CA,Saturday,37.868714,-122.259189,2018-01-20 03:10:00,4
112,17075471,DISTURBANCE,DISORDERLY CONDUCT,MILVIA STREET & ADDISON ST,Berkeley,CA,Tuesday,37.870867,-122.270635,2017-12-12 21:00:00,3
118,17076369,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2200 FOURTH ST,Berkeley,CA,Saturday,37.864444,-122.298896,2017-12-16 11:00:00,4
119,17070094,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1700 VIRGINIA ST,Berkeley,CA,Thursday,37.875426,-122.278057,2017-11-16 18:00:00,4
120,17050927,ROBBERY,ROBBERY,2600 TELEGRAPH AVE,Berkeley,CA,Sunday,37.862927,-122.258784,2017-08-27 23:25:00,3
125,17077033,ROBBERY,ROBBERY,2300 SHATTUCK AVE,Berkeley,CA,Wednesday,37.867176,-122.267802,2017-12-20 16:16:00,3
126,17061858,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,TELEGRAPH AVENUE & WEBSTER ST,Berkeley,CA,Thursday,37.855199,-122.259768,2017-10-12 23:14:00,1
129,17064613,ASSAULT/BATTERY FEL.,ASSAULT,2000 KITTREDGE ST,Berkeley,CA,Tuesday,37.868204,-122.270054,2017-10-24 11:58:00,5
135,17059323,DISTURBANCE,DISORDERLY CONDUCT,2700 CHANNING WAY,Berkeley,CA,Sunday,37.867491,-122.254054,2017-10-01 00:06:00,3
137,17077327,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,ALCATRAZ AVENUE & ADELINE ST,Berkeley,CA,Thursday,37.848724,-122.271528,2017-12-21 22:41:00,1
144,17072337,MISSING ADULT,MISSING PERSON,1800 ALCATRAZ AVE,Berkeley,CA,Tuesday,37.848854,-122.270569,2017-11-28 15:00:00,4
145,17075748,DISTURBANCE,DISORDERLY CONDUCT,UNIVERSITY AVENUE & SACRAMENTO ST,Berkeley,CA,Thursday,37.87036,-122.281864,2017-12-14 04:35:00,3
147,18001736,DISTURBANCE,DISORDERLY CONDUCT,2200 SHATTUCK AVE,Berkeley,CA,Tuesday,37.869363,-122.268028,2018-01-09 20:02:00,3
148,17059698,ROBBERY,ROBBERY,1600 DELAWARE ST,Berkeley,CA,Monday,37.873343,-122.280086,2017-10-02 21:24:00,3
149,17066827,DISTURBANCE,DISORDERLY CONDUCT,1000 GILMAN ST,Berkeley,CA,Thursday,37.88015,-122.297446,2017-11-02 20:45:00,3
150,17059075,ROBBERY,ROBBERY,2400 DURANT AVE,Berkeley,CA,Saturday,37.867513,-122.26127,2017-09-30 02:29:00,3
151,17065642,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1500 HOPKINS ST,Berkeley,CA,Saturday,37.881004,-122.283225,2017-10-28 13:00:00,4
155,17047576,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,SAN PABLO AVENUE & HEARST AVE,Berkeley,CA,Sunday,37.8704,-122.292644,2017-08-13 22:47:00,1
156,17092355,THEFT FELONY (OVER $950),LARCENY,1100 GRIZZLY PEAK BLVD,Berkeley,CA,Tuesday,37.892532,-122.256352,2017-11-21 11:00:00,3
159,17069866,ASSAULT/BATTERY MISD.,ASSAULT,2500 TELEGRAPH AVE,Berkeley,CA,Thursday,37.865009,-122.258767,2017-11-16 17:10:00,4
160,17068145,MISSING JUVENILE,MISSING PERSON,1300 UNIVERSITY AVE,Berkeley,CA,Friday,37.869764,-122.28655,2017-11-03 08:00:00,4
162,18005743,THEFT FELONY (OVER $950),LARCENY,2300 COLLEGE AVE,Berkeley,CA,Sunday,37.868957,-122.254552,2018-01-28 22:25:00,3
163,17067403,GUN/WEAPON,WEAPONS OFFENSE,NINTH STREET & ADDISON ST,Berkeley,CA,Sunday,37.866472,-122.298403,2017-11-05 09:13:00,5
165,18090295,DISTURBANCE,DISORDERLY CONDUCT,1600 SCENIC AVE,Berkeley,CA,Tuesday,37.8792,-122.263044,2018-02-06 20:23:00,3
166,17075946,DISTURBANCE,DISORDERLY CONDUCT,1700 SHATTUCK AVE,Berkeley,CA,Friday,37.876307,-122.268923,2017-12-15 02:45:00,3
170,17058197,ASSAULT/BATTERY MISD.,ASSAULT,TELEGRAPH AVENUE & DURANT AVE,Berkeley,CA,Tuesday,37.867816,-122.258994,2017-09-26 14:30:00,4
171,17073900,BRANDISHING,WEAPONS OFFENSE,1300 ADDISON ST,Berkeley,CA,Tuesday,37.868913,-122.28608,2017-12-05 13:00:00,5
173,17066190,ASSAULT/BATTERY MISD.,ASSAULT,600 ARLINGTON AVE,Berkeley,CA,Tuesday,37.89913,-122.277321,2017-10-31 08:40:00,4
175,17065137,DISTURBANCE,DISORDERLY CONDUCT,2400 ASHBY AVE,Berkeley,CA,Thursday,37.856111,-122.260248,2017-10-26 08:00:00,3
177,17073736,ROBBERY,ROBBERY,2500 TELEGRAPH AVE,Berkeley,CA,Monday,37.865009,-122.258767,2017-12-04 18:05:00,3
180,17061471,MISSING ADULT,MISSING PERSON,1600 ALCATRAZ AVE,Berkeley,CA,Wednesday,37.848152,-122.275807,2017-10-11 00:39:00,4
181,17073872,THEFT FELONY (OVER $950),LARCENY,2900 SHATTUCK AVE,Berkeley,CA,Monday,37.855523,-122.266529,2017-12-04 15:00:00,3
183,17047731,ASSAULT/BATTERY MISD.,ASSAULT,2400 ASHBY AVE,Berkeley,CA,Monday,37.856111,-122.260248,2017-08-14 17:29:00,4
186,17053630,DISTURBANCE,DISORDERLY CONDUCT,1100 FRANCISCO ST,Berkeley,CA,Wednesday,37.872656,-122.292748,2017-09-06 14:35:00,3
189,17071757,THEFT FELONY (OVER $950),LARCENY,3200 COLLEGE AVE,Berkeley,CA,Saturday,37.851038,-122.252448,2017-11-25 14:15:00,3
191,17058136,ASSAULT/BATTERY MISD.,ASSAULT,ADELINE STREET & WOOLSEY ST,Berkeley,CA,Tuesday,37.851953,-122.270182,2017-09-26 06:30:00,4
196,17091899,THEFT FELONY (OVER $950),LARCENY,2900 SAN PABLO AVE,Berkeley,CA,Thursday,37.853576,-122.287202,2017-09-21 13:10:00,3
199,18001925,ASSAULT/BATTERY FEL.,ASSAULT,TELEGRAPH AVENUE & DURANT AVE,Berkeley,CA,Wednesday,37.867816,-122.258994,2018-01-10 18:00:00,5
200,18090145,THEFT FELONY (OVER $950),LARCENY,2500 WARRING ST,Berkeley,CA,Wednesday,37.865945,-122.250471,2018-01-17 00:30:00,3
205,17056953,ASSAULT/BATTERY MISD.,ASSAULT,1300 SHATTUCK AVE,Berkeley,CA,Thursday,37.88362,-122.269734,2017-09-21 00:45:00,4
207,17092369,THEFT FELONY (OVER $950),LARCENY,2300 DURANT AVE,Berkeley,CA,Thursday,37.867259,-122.26324,2017-11-16 21:00:00,3
209,17054385,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,2500 DURANT AVE,Berkeley,CA,Sunday,37.867852,-122.258699,2017-09-10 03:11:00,1
210,17066580,ROBBERY,ROBBERY,1400 CHANNING WAY,Berkeley,CA,Wednesday,37.863773,-122.283034,2017-11-01 20:45:00,3
215,17054816,DISTURBANCE,DISORDERLY CONDUCT,1900 SHATTUCK AVE,Berkeley,CA,Monday,37.873687,-122.268616,2017-09-11 22:41:00,3
217,17068365,DISTURBANCE,DISORDERLY CONDUCT,1900 SHATTUCK AVE,Berkeley,CA,Thursday,37.873687,-122.268616,2017-11-09 17:50:00,3
219,17071319,ASSAULT/BATTERY FEL.,ASSAULT,2400 ASHBY AVE,Berkeley,CA,Thursday,37.856111,-122.260248,2017-11-23 03:21:00,5
222,17057812,THEFT FELONY (OVER $950),LARCENY,2400 SHATTUCK AVE,Berkeley,CA,Sunday,37.865772,-122.267643,2017-09-24 14:00:00,3
224,17074184,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,SEVENTH STREET & ASHBY AVE,Berkeley,CA,Wednesday,37.851017,-122.291088,2017-12-06 21:31:00,1
225,17075970,THEFT FROM AUTO,LARCENY - FROM VEHICLE,LINCOLN STREET & ACTON ST,Berkeley,CA,Thursday,37.875218,-122.28488,2017-12-14 06:00:00,4
227,17062453,DISTURBANCE,DISORDERLY CONDUCT,2500 TELEGRAPH AVE,Berkeley,CA,Sunday,37.865009,-122.258767,2017-10-15 10:31:00,3
228,17077916,DISTURBANCE,DISORDERLY CONDUCT,UNIVERSITY AVENUE & GRANT ST,Berkeley,CA,Sunday,37.871318,-122.275278,2017-12-24 23:08:00,3
233,17074573,THEFT FELONY (OVER $950),LARCENY,3100 SAN PABLO AVE,Berkeley,CA,Saturday,37.850675,-122.286265,2017-12-02 11:07:00,3
234,17065171,ASSAULT/BATTERY MISD.,ASSAULT,COLLEGE AVENUE & RUSSELL ST,Berkeley,CA,Thursday,37.858483,-122.253191,2017-10-26 07:30:00,4
235,17059540,DISTURBANCE,DISORDERLY CONDUCT,2800 SEVENTH ST,Berkeley,CA,Friday,37.855106,-122.29242,2017-09-29 05:00:00,3
236,18007139,DISTURBANCE,DISORDERLY CONDUCT,2000 UNIVERSITY AVE,Berkeley,CA,Sunday,37.871828,-122.270516,2018-02-04 13:30:00,3
237,18006166,DISTURBANCE,DISORDERLY CONDUCT,1200 ROSE ST,Berkeley,CA,Wednesday,37.876615,-122.291393,2018-01-31 05:45:00,3
242,17061080,DISTURBANCE,DISORDERLY CONDUCT,3200 ADELINE ST,Berkeley,CA,Monday,37.850345,-122.270911,2017-10-09 03:20:00,3
243,17074787,MISSING JUVENILE,MISSING PERSON,1700 WARD ST,Berkeley,CA,Friday,37.858392,-122.275421,2017-12-08 18:00:00,4
244,17071569,THEFT FROM PERSON,LARCENY,1700 PRINCE ST,Berkeley,CA,Friday,37.852136,-122.273695,2017-11-24 15:30:00,5
248,17067989,GUN/WEAPON,WEAPONS OFFENSE,1900 ALLSTON WAY,Berkeley,CA,Monday,37.868785,-122.272701,2017-11-06 15:00:00,5
249,17070172,GUN/WEAPON,WEAPONS OFFENSE,CARRISON STREET & MABEL ST,Berkeley,CA,Friday,37.851944,-122.28349,2017-11-17 23:20:00,5
257,17061412,ASSAULT/BATTERY MISD.,ASSAULT,1300 SHATTUCK AVE,Berkeley,CA,Tuesday,37.88362,-122.269734,2017-10-10 17:45:00,4
262,17058081,ASSAULT/BATTERY MISD.,ASSAULT,2300 TELEGRAPH AVE,Berkeley,CA,Monday,37.868714,-122.259189,2017-09-25 16:30:00,4
263,17057876,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,2400 TELEGRAPH AVE,Berkeley,CA,Sunday,37.866761,-122.258779,2017-09-24 18:45:00,1
264,17073189,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1400 OREGON ST,Berkeley,CA,Friday,37.855793,-122.281493,2017-12-01 17:00:00,4
267,17073435,ROBBERY,ROBBERY,1700 SAN PABLO AVE,Berkeley,CA,Sunday,37.87325,-122.293558,2017-12-03 12:30:00,3
270,17060912,ASSAULT/BATTERY MISD.,ASSAULT,DELAWARE STREET & FOURTH ST,Berkeley,CA,Sunday,37.870152,-122.300705,2017-10-08 09:42:00,4
272,17077907,DISTURBANCE,DISORDERLY CONDUCT,HEARST AVENUE & MCGEE AVE,Berkeley,CA,Friday,37.872725,-122.277729,2017-12-22 22:00:00,3
274,17061724,THEFT FROM PERSON,LARCENY,2400 DURANT AVE,Berkeley,CA,Thursday,37.867513,-122.26127,2017-10-12 11:40:00,5
282,17054850,THEFT FELONY (OVER $950),LARCENY,2100 SHATTUCK AVE,Berkeley,CA,Monday,37.871167,-122.268285,2017-09-11 15:00:00,3
284,18001907,THEFT FROM PERSON,LARCENY,2100 OXFORD ST,Berkeley,CA,Wednesday,37.87091,-122.265993,2018-01-10 16:52:00,5
288,18005541,ASSAULT/BATTERY MISD.,ASSAULT,2100 VINE ST,Berkeley,CA,Saturday,37.880266,-122.269032,2018-01-27 20:04:00,4
290,17066716,DISTURBANCE,DISORDERLY CONDUCT,2200 BONAR ST,Berkeley,CA,Thursday,37.86695,-122.286984,2017-11-02 13:46:00,3
291,17049614,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,3000 ADELINE ST,Berkeley,CA,Tuesday,37.85488,-122.269079,2017-08-22 15:10:00,1
295,17060034,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,1500 SHATTUCK AVE,Berkeley,CA,Wednesday,37.880227,-122.26936,2017-10-04 12:00:00,1
299,17053105,ASSAULT/BATTERY FEL.,ASSAULT,2000 ALLSTON WAY,Berkeley,CA,Tuesday,37.869096,-122.270137,2017-09-05 16:30:00,5
302,18006068,THEFT FELONY (OVER $950),LARCENY,2700 SHATTUCK AVE,Berkeley,CA,Saturday,37.859802,-122.267177,2017-12-30 08:00:00,3
307,17075351,ASSAULT/BATTERY MISD.,ASSAULT,2400 CURTIS ST,Berkeley,CA,Tuesday,37.863099,-122.288255,2017-12-12 10:00:00,4
317,17048663,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,2200 SHATTUCK AVE,Berkeley,CA,Friday,37.869363,-122.268028,2017-08-18 19:28:00,1
322,17066352,SEXUAL ASSAULT MISD.,SEX CRIME,1700 TENTH ST,Berkeley,CA,Tuesday,37.873024,-122.294652,2017-10-31 21:52:00,4
324,17069651,ROBBERY,ROBBERY,2100 OXFORD ST,Berkeley,CA,Wednesday,37.87091,-122.265993,2017-11-15 16:40:00,3
325,17077146,DISTURBANCE,DISORDERLY CONDUCT,SHATTUCK AVENUE & ALLSTON WAY,Berkeley,CA,Thursday,37.86939,-122.267883,2017-12-21 03:04:00,3
326,17063567,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,2900 ELLIS ST,Berkeley,CA,Friday,37.85583,-122.27339,2017-10-20 02:40:00,1
327,18000328,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2800 BENVENUE AVE,Berkeley,CA,Wednesday,37.859918,-122.254574,2017-12-20 12:00:00,4
333,17052967,ASSAULT/BATTERY MISD.,ASSAULT,SHATTUCK AVENUE & BLAKE ST,Berkeley,CA,Monday,37.863053,-122.267321,2017-09-04 21:40:00,4
334,17050601,ROBBERY,ROBBERY,DURANT AVENUE & FULTON ST,Berkeley,CA,Saturday,37.866935,-122.265772,2017-08-26 03:00:00,3
336,18005853,ROBBERY,ROBBERY,DURANT AVENUE & DANA ST,Berkeley,CA,Friday,37.867513,-122.26127,2018-01-26 03:00:00,3
337,17051465,MUNICIPAL CODE,ALL OTHER OFFENSES,700 ESSEX WAY,Berkeley,CA,Wednesday,37.866591,-122.300411,2017-08-30 05:25:00,1
340,17058228,THEFT FROM PERSON,LARCENY,SACRAMENTO STREET & ALCATRAZ AVE,Berkeley,CA,Tuesday,37.847908,-122.277685,2017-09-26 17:00:00,5
341,17091914,DISTURBANCE,DISORDERLY CONDUCT,1800 THOUSAND OAKS BLVD,Berkeley,CA,Monday,37.897393,-122.28115,2017-09-18 10:30:00,3
345,18005739,BRANDISHING,WEAPONS OFFENSE,800 HEARST AVE,Berkeley,CA,Sunday,37.869084,-122.299245,2018-01-28 19:30:00,5
347,17062271,THEFT FELONY (OVER $950),LARCENY,1000 ASHBY AVE,Berkeley,CA,Saturday,37.851653,-122.289194,2017-10-14 16:10:00,3
348,17065265,MISSING ADULT,MISSING PERSON,1600 ALCATRAZ AVE,Berkeley,CA,Thursday,37.848152,-122.275807,2017-10-26 19:00:00,4
350,17057291,ROBBERY,ROBBERY,1500 SHATTUCK AVE,Berkeley,CA,Thursday,37.880227,-122.26936,2017-09-21 18:54:00,3
355,18005265,THEFT FELONY (OVER $950),LARCENY,2700 BANCROFT WAY,Berkeley,CA,Thursday,37.869312,-122.254314,2018-01-25 19:59:00,3
356,17091920,THEFT FELONY (OVER $950),LARCENY,3000 DEAKIN ST,Berkeley,CA,Wednesday,37.855671,-122.262461,2017-09-20 15:00:00,3
358,17065727,ROBBERY,ROBBERY,2100 OXFORD ST,Berkeley,CA,Saturday,37.87091,-122.265993,2017-10-28 19:43:00,3
360,17066159,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,700 EUCLID AVE,Berkeley,CA,Tuesday,37.898524,-122.267129,2017-10-31 00:38:00,1
362,17059008,ROBBERY,ROBBERY,2100 CENTER ST,Berkeley,CA,Friday,37.870308,-122.26805,2017-09-29 20:55:00,3
371,17050842,ROBBERY,ROBBERY,HEARST AVENUE & GRANT ST,Berkeley,CA,Sunday,37.873017,-122.275481,2017-08-27 15:00:00,3
380,17072299,DISTURBANCE,DISORDERLY CONDUCT,2200 SHATTUCK AVE,Berkeley,CA,Tuesday,37.869363,-122.268028,2017-11-28 09:00:00,3
384,17059073,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,200 TUNNEL RD,Berkeley,CA,Saturday,37.85405,-122.236429,2017-09-30 02:05:00,1
387,17077727,ASSAULT/BATTERY MISD.,ASSAULT,1400 WALNUT ST,Berkeley,CA,Saturday,37.882199,-122.268386,2017-12-23 20:00:00,4
389,17062067,ROBBERY,ROBBERY,2900 SAN PABLO AVE,Berkeley,CA,Friday,37.853576,-122.287202,2017-10-13 20:20:00,3
391,17049512,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,HASTE STREET & TELEGRAPH AVE,Berkeley,CA,Tuesday,37.866025,-122.258623,2017-08-22 02:18:00,1
395,18002016,KIDNAPPING,KIDNAPPING,2400 ASHBY AVE,Berkeley,CA,Wednesday,37.856111,-122.260248,2018-01-10 11:00:00,5
398,17066229,DISTURBANCE,DISORDERLY CONDUCT,SAN PABLO AVENUE & ASHBY AVE,Berkeley,CA,Tuesday,37.852137,-122.286732,2017-10-31 12:14:00,3
401,17091817,THEFT FELONY (OVER $950),LARCENY,1000 HEARST AVE,Berkeley,CA,Monday,37.869993,-122.294774,2017-09-11 15:00:00,3
408,17067066,ASSAULT/BATTERY MISD.,ASSAULT,2000 DWIGHT WAY,Berkeley,CA,Friday,37.863679,-122.26963,2017-11-03 21:45:00,4
415,17061197,ASSAULT/BATTERY MISD.,ASSAULT,600 SANTA BARBARA RD,Berkeley,CA,Monday,37.899656,-122.273738,2017-10-09 19:00:00,4
419,18004763,DISTURBANCE,DISORDERLY CONDUCT,2300 SAN PABLO AVE,Berkeley,CA,Wednesday,37.864411,-122.290705,2018-01-24 09:55:00,3
420,18000553,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2700 MABEL ST,Berkeley,CA,Tuesday,37.858057,-122.284729,2018-01-02 16:00:00,4
423,17047813,DISTURBANCE,DISORDERLY CONDUCT,2100 KITTREDGE ST,Berkeley,CA,Monday,37.868512,-122.26781,2017-08-14 23:46:00,3
426,17050828,ASSAULT/BATTERY MISD.,ASSAULT,1400 SHATTUCK AVE,Berkeley,CA,Sunday,37.881957,-122.269551,2017-08-27 11:00:00,4
433,17074655,DISTURBANCE,DISORDERLY CONDUCT,SAN PABLO AVENUE & GILMAN ST,Berkeley,CA,Friday,37.880468,-122.295876,2017-12-08 19:57:00,3
444,17074390,ASSAULT/BATTERY MISD.,ASSAULT,SAN PABLO AVENUE & BLAKE ST,Berkeley,CA,Thursday,37.860265,-122.289213,2017-12-07 18:21:00,4
447,17050806,MUNICIPAL CODE,ALL OTHER OFFENSES,MILVIA STREET & ALLSTON WAY,Berkeley,CA,Sunday,37.869057,-122.270463,2017-08-27 11:33:00,1
448,17062642,DISTURBANCE,DISORDERLY CONDUCT,2400 CARLETON ST,Berkeley,CA,Monday,37.862189,-122.25991,2017-10-16 06:10:00,3
449,17073740,ROBBERY,ROBBERY,1900 SHATTUCK AVE,Berkeley,CA,Monday,37.873687,-122.268616,2017-12-04 18:30:00,3
452,18002082,DISTURBANCE,DISORDERLY CONDUCT,1600 SIXTY-SECOND ST,Berkeley,CA,Sunday,37.872599,-122.303889,2018-01-07 12:00:00,3
456,17063519,THEFT FROM PERSON,LARCENY,1400 SHATTUCK AVE,Berkeley,CA,Thursday,37.881957,-122.269551,2017-10-19 13:00:00,5
458,17071597,THEFT FROM PERSON,LARCENY,2300 SHATTUCK AVE,Berkeley,CA,Friday,37.867176,-122.267802,2017-11-24 18:49:00,5
460,18000601,DISTURBANCE,DISORDERLY CONDUCT,1600 WARD ST,Berkeley,CA,Wednesday,37.858132,-122.277595,2018-01-03 20:33:00,3
466,18002874,ROBBERY,ROBBERY,2200 FULTON ST,Berkeley,CA,Monday,37.868706,-122.266279,2018-01-15 12:04:00,3
469,17092125,THEFT FELONY (OVER $950),LARCENY,2400 PROSPECT ST,Berkeley,CA,Tuesday,37.867717,-122.249901,2017-10-24 06:30:00,3
473,17048165,ASSAULT/BATTERY MISD.,ASSAULT,2000 UNIVERSITY AVE,Berkeley,CA,Wednesday,37.871828,-122.270516,2017-08-16 14:35:00,4
476,17077548,ROBBERY,ROBBERY,1500 SHATTUCK AVE,Berkeley,CA,Friday,37.880227,-122.26936,2017-12-22 23:25:00,3
479,17057566,ASSAULT/BATTERY FEL.,ASSAULT,1800 FIFTH ST,Berkeley,CA,Saturday,37.870231,-122.299624,2017-09-23 11:30:00,5
482,17047987,ROBBERY,ROBBERY,2400 FIFTH ST,Berkeley,CA,Tuesday,37.861511,-122.29681,2017-08-15 18:40:00,3
484,18006298,THEFT FELONY (OVER $950),LARCENY,2700 COLLEGE AVE,Berkeley,CA,Wednesday,37.861645,-122.253508,2018-01-31 21:10:00,3
